Timestamp;Fix;Lat;Lon;Alt;pAcc;Mag;Speed;sAcc;Heading;Battery;AccX;AccY;AccZ;GyrX;GyrY;GyrZ
17:11:30.000;True;48,45361;1,509442;156,5;53,14132;0;0,1666667;0;354,32;4,14625;2125;-65;-541;-1063;819;125
17:11:30.100;True;48,45361;1,50944;156,6;53,14132;0;0,1805556;0;354,32;4,14625;1940;-91;-693;-770;359;616
17:11:30.200;True;48,45361;1,509438;156,6;53,14132;0;0,1916667;0;354,32;4,14625;1770;-108;-426;-114;583;573
17:11:30.300;True;48,45361;1,509435;156,6;53,14132;0;0,2111111;0;354,32;4,14625;1853;-192;-605;-343;-262;376
17:11:30.400;True;48,45361;1,50943;156,7;53,14132;0;0,2333333;0;354,32;4,14625;1928;-129;-247;76;408;52
17:11:30.500;True;48,45361;1,509427;156,8;53,14132;0;0,2444444;0;354,32;4,14625;1903;-155;-403;-148;245;-150
17:11:30.600;True;48,45361;1,509425;156,9;53,14132;0;0,2555556;0;354,32;4,14625;1984;-113;-376;-135;31;-379
17:11:30.700;True;48,45361;1,509423;157;53,14132;0;0,2666667;0;354,32;4,14625;1976;-148;-270;138;172;-293
17:11:30.800;True;48,45361;1,50942;157,1;53,14132;0;0,2805555;0;354,32;4,14625;2067;-105;-426;175;63;-102
17:11:30.900;True;48,4536;1,509417;157,1;53,14132;0;0,2944444;0;354,32;4,14625;2055;-88;-258;388;399;229
17:11:31.000;True;48,4536;1,509415;157,2;53,14132;0;0,3;0;354,32;4,14625;2176;46;-615;72;-614;501
17:11:31.100;True;48,4536;1,509412;157,2;53,14132;0;0,3083333;0;307,28;4,14625;2119;-130;-495;-27;-342;-63
17:11:31.200;True;48,4536;1,50941;157,2;53,14132;0;0,3138889;0;307,04;4,14625;1902;-7;-590;154;40;190
17:11:31.300;True;48,4536;1,509407;157,3;53,14132;0;0,3222222;0;305,92;4,14625;1670;-84;-529;-135;322;130
17:11:31.400;True;48,4536;1,509405;157,3;53,14132;0;0,3305556;0;305,43;4,14625;1897;-50;-715;-429;-278;-202
17:11:31.500;True;48,4536;1,509403;157,4;53,14132;0;0,3333333;0;305,83;4,14625;1992;-16;-551;-698;256;-221
17:11:31.600;True;48,4536;1,509402;157,4;53,14132;0;0,3388889;0;305,88;4,14625;2083;-82;-873;100;718;-81
17:11:31.700;True;48,4536;1,509398;157,5;54,42426;0;0,3444445;0;305,72;4,14625;2035;-108;-450;-186;863;3
17:11:31.800;True;48,4536;1,509397;157,5;54,42426;0;0,3555556;0;305,32;4,14625;1820;-324;-438;1;-469;163
